"Patch","Lat","Lon","AREA","Road","X","Y"
"2872",NA,NA,101.9063167,1,129.96504306,6670.1195065
"2873",NA,NA,NA,0,NA,NA
"2874",NA,NA,4392.754984,1,129.43234255,6670.8394308
"2875",NA,NA,484.1858304,1,129.35971675,6671.7999029
"2876",NA,NA,602.1355577,1,128.98862481,6671.8538514
"2877",NA,NA,NA,0,NA,NA
"2878",NA,NA,111.7490078,0,128.89496531,6671.4509724
"2879",NA,NA,13005.78518,1,129.00147445,6672.052896
"2881",NA,NA,571.2679895,1,129.31047893,6672.0408026
"2882",NA,NA,254.1233078,1,129.37261024,6672.0212218
"2883",NA,NA,318.3149259,0,130.03933153,6670.0806368
"2884",NA,NA,48.6639843,1,129.98676042,6670.2667585
"2885",NA,NA,146.528272,0,130.53753738,6670.1043917
"2886",NA,NA,43.97325541,0,130.94536728,6669.6269029
"2887",NA,NA,172.3156262,1,130.91291186,6669.4182942
"2888",NA,NA,NA,0,NA,NA
"2889",NA,NA,NA,0,NA,NA
"2890",NA,NA,242.3527068,0,130.59103476,6669.214304
"2891",60.09,20.17,679.6568302,1,120.47274157,6680.5839493
"2892",60.09,20.16,1564.994069,1,119.86111905,6681.3382513
"2893",60.08,20.16,609.385975,1,120.07339759,6679.9322856
"2894",NA,NA,412.469679,1,NA,NA
"2897",60.22,20.18,615.8273596,0,122.68184398,6695.4825147
"2898",60.22,20.19,1231.58831,0,122.92635351,6695.6451286
"2899",60.22,20.18,803.8317643,0,122.62780738,6695.8436499
"2900",60.23,20.17,239.335691,1,122.35183128,6696.2280656
"2901",60.23,20.17,706.4388213,1,122.36964701,6696.4776527
"2902",60.24,20.18,206.8142033,0,122.62647621,6698.1077387
"2904",60.25,20.18,1829.150633,0,122.93582747,6698.4656746
"2905",60.25,20.19,4903.057874,1,123.65394174,6698.2613205
"2906",60.28,20.09,389.8980906,0,118.44766984,6702.863637
"2907",60.12,20.27,16.10439288,1,126.49744798,6683.5807362
"2908",60.3,20.08,22500.73104,1,117.98707922,6704.6311837
"2909",60.28,20.06,466.545978,0,116.50944536,6702.3690026
"2910",60.27,20.04,270.4849248,1,115.39663772,6702.0506859
"2911",60.08,20.03,1378.062135,0,112.85943453,6680.6014934
"2913",60.07,20.12,397.8318766,1,117.57705286,6679.6932331
"2914",NA,NA,NA,0,NA,NA
"2915",60.23,20.4,49.81258082,1,134.92566437,6695.0245866
"2916",60.23,20.39,227.6438789,1,134.05687878,6695.4294679
"2917",60.23,20.38,212.685372,1,133.95175158,6695.4319251
"2918",60.23,20.39,43.46522653,0,134.06686585,6695.1801909
"2919",60.24,20.39,3206.320268,1,134.08523262,6696.0565561
"2920",NA,NA,NA,0,NA,NA
"2921",60.23,20.38,211.9310806,1,133.94190896,6695.6641062
"2922",60.23,20.38,4360.434297,1,133.78436864,6695.4832435
"2923",60.21,20.37,1016.672805,0,132.82758358,6693.1028024
"2924",60.21,20.37,336.4318932,1,132.91980938,6692.9965443
"2925",60.21,20.37,455.8908916,1,133.07331956,6692.9747992
"2926",60.21,20.37,192.5870718,0,133.14307474,6692.960905
"2927",60.21,20.37,475.1086291,1,133.20159729,6693.0357012
"2928",60.21,20.38,38.29495384,0,133.27772332,6692.9993442
"2929",60.21,20.38,12657.03156,1,133.32366471,6693.2744107
"2931",60.21,20.37,495.9944104,1,132.85892038,6693.4988069
"2932",NA,NA,NA,0,NA,NA
"2933",60.21,20.37,586.6142422,1,133.01205999,6693.549404
"2934",60.21,20.37,142.8320127,0,133.06097766,6693.5963381
"2935",60.21,20.37,848.5598308,1,132.95207676,6693.4261293
"2936",60.21,20.37,1777.271733,1,133.08659538,6693.4731347
"2937",60.21,20.37,3035.22786,1,133.18051902,6693.3372634
"2940",60.21,20.38,48.60583414,1,133.31098019,6693.0561363
"2941",60.2,20.38,85.35948609,1,133.18457968,6692.2060977
"2942",60.21,20.38,734.3967293,1,133.43210024,6692.7529737
"2943",60.21,20.38,431.4863686,1,133.34877893,6692.9245332
"2944",60.21,20.38,1056.346575,1,133.47402113,6693.0272653
"2945",60.21,20.38,477.4326965,1,133.49378859,6692.8893714
"2946",60.21,20.39,54.2339689,0,133.74982646,6692.8282097
"2947",60.21,20.39,728.5182219,1,134.11355852,6692.9445924
"2948",60.21,20.38,60.54458237,1,133.5576721,6693.0805472
"2949",60.21,20.38,2827.774386,1,133.51483761,6693.4245396
"2950",60.22,20.38,2300.45642,1,133.56996616,6693.8238521
"2951",60.21,20.38,1199.045098,0,133.5991828,6693.6987211
"2952",60.21,20.38,72.62126178,1,133.57727341,6693.4225706
"2953",60.21,20.38,76.5617558,1,133.784643,6693.4951195
"2954",60.22,20.38,42.38178702,0,133.71206365,6693.7828968
"2955",60.23,20.39,304.9866555,1,134.15459217,6695.4956371
